id,name,control_type,feature_type,inactive,make,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
190601280,Eileen McCoy Park,On/Off,Drinking Fountain,f,Most Dependable,https://tools.wprdc.org/images/pittsburgh/water_features/Eileen_McCoy_Park.jpg,Duquesne Heights,2,19,42003191100,5,19,3,4-1,40.43813023,-80.02439568
1273807679,Eileen McCoy Park Spray,,Spray,f,,https://tools.wprdc.org/images/pittsburgh/water_features/Eileen_McCoy_Park_Spray.jpg,Duquesne Heights,2,19,42003191100,5,19,3,4-1,40.43805448,-80.02449155
1204770038,Eliza Furnace Trail Lot,On/Off,Drinking Fountain,f,,https://tools.wprdc.org/images/pittsburgh/water_features/Eliza_Furnace_Trail_Lot.jpg,South Oakland,3,4,42003562900,3,4,4,2-12,40.42634534,-79.95288414
1555189480,Enright Park Drinking,Continuous,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Enright_Park_Drinking.jpg,East Liberty,9,8,42003111500,2,8,5,3-23,40.46189356,-79.92994039
1598623104,Enright Playground,,Spray,f,,https://tools.wprdc.org/images/pittsburgh/water_features/Enright_Playground.jpg,East Liberty,9,8,42003111500,2,8,5,3-23,40.46196081,-79.93000061
924828750,Farmhouse Playground,On/Off,Drinking Fountain,f,Murdock,https://tools.wprdc.org/images/pittsburgh/water_features/Farmhouse_Playground.jpg,Highland Park,7,11,42003980100,2,11,5,3-9,40.47605625,-79.91356886
299456051,Fort Pitt Park,On/Off,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Fort_Pitt_Park.jpg,Garfield,9,10,42003101700,2,10,5,3-4,40.46893177,-79.94236828
1208901284,Four Mile Run Playground,On/Off,Drinking Fountain,f,Murdock,https://tools.wprdc.org/images/pittsburgh/water_features/Four_Mile_Run_Playground.jpg,Greenfield,5,14,42003151600,3,14,4,2-12,40.42791741,-79.94876451
915807211,Fowler Park,On/Off,Drinking Fountain,f,Most Dependable,https://tools.wprdc.org/images/pittsburgh/water_features/Fowler_Park.jpg,Perry South,6,26,42003261400,1,26,1,1-23,40.47041983,-80.01093274
1660906515,Frazier Park,On/Off,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Frazier_Park.jpg,South Oakland,3,4,42003040900,3,4,4,2-11,40.42970983,-79.95437285
874677519,Frazier Park Spray,,Spray,f,,https://tools.wprdc.org/images/pittsburgh/water_features/Frazier_Park_Spray.jpg,South Oakland,3,4,42003040900,3,4,4,2-11,40.42937105,-79.95392683
1690183751,Frick Park,On/Off,Drinking Fountain,f,Most Dependable,https://tools.wprdc.org/images/pittsburgh/water_features/Frick_Park.jpg,Squirrel Hill South,5,14,42003980300,3,14,4,2-21,40.43111338,-79.9103817
